  Token        Position  
-------------------------
define                -1
int                   -1
n                      0
;                     -1
read                  -1
(                     -1
n                      0
,                     -1
stdin                 -1
)                     -1
;                     -1
if                    -1
n                      0
<                     -1
2                      1
{                     -1
show                  -1
(                     -1
"                     -1
Notprime               2
"                     -1
}                     -1
if                    -1
n                      0
%                     -1
2                      1
===                   -1
0                      3
and                   -1
n                      0
not                   -1
2                      1
{                     -1
show                  -1
(                     -1
"                     -1
Notprime               2
"                     -1
}                     -1
for                   -1
d                      4
starts                -1
from                  -1
transforms            -1
into                  -1
d                      4
=                     -1
d                      4
+                     -1
stops                 -1
at                    -1
d                      4
*                     -1
d                      4
<==                   -1
{                     -1
if                    -1
n                      0
%                     -1
d                      4
===                   -1
0                      3
{                     -1
show                  -1
(                     -1
"                     -1
Notprime               2
"                     -1
}                     -1
}                     -1
show                  -1
(                     -1
"                     -1
Prime                  5
"                     -1
